Date,Time,Duration in seconds,Sleep stage
2025.10.21 07:15:55,07:15:55,60,light
2025.10.21 07:16:55,07:16:55,1320,rem
2025.10.21 07:38:55,07:38:55,60,awake
2025.10.21 07:39:55,07:39:55,600,light
2025.10.21 07:49:55,07:49:55,840,awake
2025.10.21 08:03:55,08:03:55,1020,light
2025.10.21 20:24:32,20:24:32,600,light
2025.10.21 20:34:32,20:34:32,1140,deep
2025.10.21 20:53:32,20:53:32,1680,light
2025.10.21 21:21:32,21:21:32,360,deep
2025.10.21 21:27:32,21:27:32,420,light
2025.10.21 21:34:32,21:34:32,180,awake
2025.10.21 21:37:32,21:37:32,660,light
2025.10.21 21:48:32,21:48:32,60,awake
2025.10.21 21:49:32,21:49:32,1800,light
2025.10.21 22:19:32,22:19:32,1440,awake
2025.10.21 22:43:32,22:43:32,720,light
2025.10.21 22:55:32,22:55:32,3720,awake
2025.10.21 23:57:32,23:57:32,600,light
2025.10.22 00:07:32,00:07:32,180,deep
2025.10.22 00:10:32,00:10:32,6540,awake
2025.10.22 01:59:32,01:59:32,3900,light
2025.10.22 03:04:32,03:04:32,2100,rem
2025.10.22 03:39:32,03:39:32,600,light
2025.10.22 03:49:32,03:49:32,660,awake
2025.10.22 04:00:32,04:00:32,2460,light
2025.10.22 04:41:32,04:41:32,1980,awake
2025.10.22 05:14:32,05:14:32,840,light
2025.10.23 00:21:08,00:21:08,1020,light
2025.10.23 00:38:08,00:38:08,600,deep
2025.10.23 00:48:08,00:48:08,2820,light
2025.10.23 01:35:08,01:35:08,1800,rem
2025.10.23 02:05:08,02:05:08,480,light
2025.10.23 02:13:08,02:13:08,60,awake
2025.10.23 02:14:08,02:14:08,480,light
2025.10.23 02:22:08,02:22:08,1560,deep
2025.10.23 02:48:08,02:48:08,780,light
2025.10.23 03:01:08,03:01:08,960,awake
2025.10.23 03:17:08,03:17:08,2160,light
2025.10.23 03:53:08,03:53:08,1920,awake
2025.10.23 04:25:08,04:25:08,720,light
2025.10.23 04:37:08,04:37:08,1200,awake
2025.10.23 04:57:08,04:57:08,240,light
2025.10.23 05:01:08,05:01:08,120,deep
2025.10.23 05:03:08,05:03:08,180,awake
2025.10.23 05:06:08,05:06:08,720,light
2025.10.23 05:18:08,05:18:08,5520,awake
2025.10.23 06:50:08,06:50:08,840,light
2025.10.23 07:04:08,07:04:08,60,awake
2025.10.23 07:05:08,07:05:08,1080,light
2025.10.23 07:23:08,07:23:08,1320,rem
2025.10.23 22:04:31,22:04:31,600,light
2025.10.23 22:14:31,22:14:31,1800,deep
2025.10.23 22:44:31,22:44:31,60,awake
2025.10.23 22:45:31,22:45:31,2580,light
2025.10.23 23:28:31,23:28:31,600,rem
2025.10.23 23:38:31,23:38:31,3840,light
2025.10.24 00:42:31,00:42:31,720,awake
2025.10.24 00:54:31,00:54:31,660,light
2025.10.24 01:05:31,01:05:31,780,deep
2025.10.24 01:18:31,01:18:31,1920,light
2025.10.24 01:50:31,01:50:31,60,awake
2025.10.24 01:51:31,01:51:31,780,light
2025.10.24 02:04:31,02:04:31,660,rem
2025.10.24 02:15:31,02:15:31,5040,awake
2025.10.24 03:39:31,03:39:31,720,light
2025.10.24 03:51:31,03:51:31,900,deep
2025.10.24 04:06:31,04:06:31,3180,awake
2025.10.24 04:59:31,04:59:31,900,light
2025.10.24 05:14:31,05:14:31,5820,awake
2025.10.24 06:51:31,06:51:31,960,light
2025.10.24 07:07:31,07:07:31,240,awake
2025.10.24 07:11:31,07:11:31,600,light
2025.10.24 07:21:31,07:21:31,60,awake
2025.10.24 07:22:31,07:22:31,600,light
2025.10.24 07:32:31,07:32:31,900,rem
2025.10.24 07:47:31,07:47:31,360,light
2025.10.24 21:33:06,21:33:06,600,light
2025.10.24 21:43:06,21:43:06,1740,deep
2025.10.24 22:12:06,22:12:06,120,awake
2025.10.24 22:14:06,22:14:06,3120,light
2025.10.24 23:06:06,23:06:06,480,awake
2025.10.24 23:14:06,23:14:06,840,light
2025.10.24 23:28:06,23:28:06,60,awake
2025.10.24 23:29:06,23:29:06,420,light
2025.10.24 23:36:06,23:36:06,540,deep
2025.10.24 23:45:06,23:45:06,180,awake
2025.10.24 23:48:06,23:48:06,2400,light
2025.10.25 00:28:06,00:28:06,60,awake
2025.10.25 00:29:06,00:29:06,720,light
2025.10.25 00:41:06,00:41:06,9780,awake
2025.10.25 03:24:06,03:24:06,600,light
2025.10.25 03:34:06,03:34:06,2100,deep
2025.10.25 04:09:06,04:09:06,720,light
2025.10.25 04:21:06,04:21:06,480,deep
2025.10.25 04:29:06,04:29:06,720,light
2025.10.25 04:41:06,04:41:06,1800,rem
2025.10.25 05:11:06,05:11:06,1200,light
2025.10.25 05:31:06,05:31:06,3240,awake
2025.10.25 06:25:06,06:25:06,600,light
2025.10.25 06:35:06,06:35:06,660,deep
2025.10.25 20:55:36,20:55:36,720,light
2025.10.25 21:07:36,21:07:36,1200,deep
2025.10.25 21:27:36,21:27:36,2160,light
2025.10.25 22:03:36,22:03:36,300,deep
2025.10.25 22:08:36,22:08:36,660,light
2025.10.25 22:19:36,22:19:36,300,awake
2025.10.25 22:24:36,22:24:36,720,light
2025.10.25 22:36:36,22:36:36,60,awake
2025.10.25 22:37:36,22:37:36,6240,light
2025.10.26 00:21:36,00:21:36,660,awake
2025.10.26 00:32:36,00:32:36,660,light
2025.10.26 00:43:36,00:43:36,60,awake
2025.10.26 00:44:36,00:44:36,1920,light
2025.10.26 01:16:36,01:16:36,1140,deep
2025.10.26 01:35:36,01:35:36,2940,awake
2025.10.26 02:24:36,02:24:36,2040,light
2025.10.26 02:58:36,02:58:36,2460,awake
2025.10.26 03:39:36,03:39:36,960,light
2025.10.26 03:55:36,03:55:36,2760,awake
2025.10.26 04:41:36,04:41:36,1860,light
2025.10.26 05:12:36,05:12:36,420,awake
2025.10.26 05:19:36,05:19:36,1080,light
2025.10.26 05:37:36,05:37:36,960,awake
2025.10.26 05:53:36,05:53:36,3240,light
2025.10.26 06:47:36,06:47:36,120,awake
2025.10.26 06:49:36,06:49:36,2400,light
2025.10.26 07:29:36,07:29:36,420,awake
2025.10.26 07:36:36,07:36:36,900,light
2025.10.26 22:30:43,22:30:43,240,light
2025.10.26 22:34:43,22:34:43,2580,deep
2025.10.26 23:17:43,23:17:43,2880,light
2025.10.27 00:05:43,00:05:43,660,rem
2025.10.27 00:16:43,00:16:43,3780,light
2025.10.27 01:19:43,01:19:43,540,deep
2025.10.27 01:28:43,01:28:43,1440,light
2025.10.27 01:52:43,01:52:43,3540,awake
2025.10.27 02:51:43,02:51:43,1380,light
2025.10.27 03:14:43,03:14:43,180,awake
2025.10.27 03:17:43,03:17:43,660,light
2025.10.27 03:28:43,03:28:43,1680,awake
2025.10.27 03:56:43,03:56:43,2520,light
2025.10.27 04:38:43,04:38:43,360,rem
2025.10.27 04:44:43,04:44:43,300,light
2025.10.27 04:49:43,04:49:43,2580,awake
2025.10.27 05:32:43,05:32:43,600,light
2025.10.27 05:42:43,05:42:43,1080,awake
2025.10.27 06:00:43,06:00:43,1680,light
